created_at,full_text_original,full_text,label
Fri Jan 12 20:03:58 +0000 2024,Shopee ln kapan balik ya.... tiktok shop aja udah balik,shopee kapan balik iya tiktok shop aja balik,neutral
Fri Jan 12 14:13:37 +0000 2024,"DPR Soroti 2 Kementerian Tak Kompak soal Izin Kembali Beroperasinya TikTok Shop, Ada Apa? https://t.co/9dWGIztRbw",dpr sorot menteri tak kompak soal izin operasi tiktok shop apa,negative
Fri Jan 12 11:16:22 +0000 2024,"Langgar Permendag, DPR akan Dalami Muatan Politis di Balik Pelanggaran Tiktok Shop Jum'at, 12/01/2024, 15:13 WIB https://t.co/lnMrp3GP9N",langgar permendag dpr dalam muat politis balik langgar tiktok shop jumat,negative
Fri Jan 12 05:12:24 +0000 2024,@legislatweet Menolak jualan secara online (tutup tiktok shop),tolak jual online tutup tiktok shop,negative
Fri Jan 12 04:37:00 +0000 2024,"@KonCeptDS @TikTokShop_ID @PakDewaBeneran @tiktokIDN Beda banget sama CS marketplace lain. Tiktokshop bukan memudahkan, merepotkan iya. Hhhh mulai nyesel buka tiktokshop",beda banget sama layan langgan marketplace tiktok shop bukan mudah repot iya mulai kecewa buka tiktok shop,negative
Fri Jan 12 03:53:37 +0000 2024,"@Deka_Ajaa Sudah dikulik tempo, artinya umkm emang benar terancam atau tidak baik2 saja dengan kembalinya tiktok shop",lik tempo arti umkm memang benar ancam tidak baik dengan kembali tiktok shop,negative
Thu Jan 11 17:03:26 +0000 2024,inpone mbak dri tiktokshop masih ada sampe tutup dan balik ada lagi @ssupchell @sebatkuyy,informasi tiktok shop tutup balik ada lagi,neutral
Thu Jan 11 12:29:03 +0000 2024,"Pemerintah juga sih inkonsistensi jalankan anturan yg mereka tetapkan sendiri.  Jelas kan skrng, penutupan tiktok shop kemaren hingga kembalinya mereka beroperasi dgn gandeng tokped, sebenarnya bukan untuk melindungi pelaku UMKM gaes!   #tiktokancamumkm  https://t.co/BjP5TNYeqK",perintah sih inkonsistensi jalan atur tetap sendiri jelas sekarang tutup tiktok shop kemarin hingga kembali mereka operasi gandeng tokopedia benar bukan lindung laku umkm,negative
Thu Jan 11 06:39:30 +0000 2024,@Deka_Ajaa Usaha kecil lokal mulai merasakan dampak kembalinya beroperasi tiktok shop dgn gandeng tokped. Sedih,usaha kecil lokal mulai rasa dampak kembali operasi tiktok shop gandeng tokopedia sedih,negative
Thu Jan 11 06:32:52 +0000 2024,"TikTok Shop yang kembali beroperasi di Indonesia terus mendapatkan kritikan dari banyak pihak. Selain itu, perbedaan sikap antara dua kementerian, yakni Kemendag dan KemenkopUKM juga menjadi sorotan.  #IDNTimesBusiness   https://t.co/804yM0Pski https://t.co/WbMAZfSLf6",tiktok shop kembali operasi indonesia terus dapat kritik banyak pihak luar beda sikap dua menteri kemendag kemenkopukm jadi sorot,negative
Thu Jan 11 05:44:32 +0000 2024,"Ternyata karena kurang orang. Paa tiktokshop ditutup, karyawannya juga dikurangi. Pas kemarin dibuka lagi, agak susah nyari karyawan. Yg diajak rejoin udah terlanjur kerja.",nyata kurang orang waktu tiktok shop tutup karyawannya rang kemarin buka agak susah cari karyawan ajak gabung sudah lanjur kerja,negative
Thu Jan 11 03:44:57 +0000 2024,Praktisi Ungkap Dampak Tersembunyi Kehadiran Kembali TikTok Shop https://t.co/4hLYBMvzlB,praktisi ungkap dampak sembunyi hadir tiktok shop,negative
Wed Jan 10 16:58:35 +0000 2024,kaget buka tiktokshop jadi ijo gue kira bisnisnya aja tp systemnya langsung ijo juga wkwk,kaget buka tiktok shop jadi ijo aku kira bisnis aja systemnya langsung ijo,neutral
Wed Jan 10 14:39:00 +0000 2024,"TikTok Shop Kembali Disorot, Peneliti CFDS UGM Sebut Regulasi Pemerintah Abu-Abu  https://t.co/rGQ5Pnutqt",tiktok shop sorot teliti cfds ugm sebut regulasi perintah abu abu,negative
Wed Jan 10 14:06:26 +0000 2024,@8kanev Nah ini penampakan jelasnya buat yang kucing sama hati. Hoki sih beli ini H-1 sebelum Tiktokshop tutup+ peraturan barang dari Tiongkok gaboleh dijual lagi di Shopee wkwkwkwkwkwkwkwkwkwkwkk  https://t.co/4FDUo1pqe1,tampak jelas buat kucing sama hati untung sih beli belum tiktok shop tutup atur barang tiongkok tidak jual di shopee,neutral
Wed Jan 10 12:18:17 +0000 2024,"ini tiktokshop balik malah jadi pengen beli2 mulu anjiiiirrrr. berbahaya sekali.  tau2 cekot dua parfum. walau ya jadi murah, sih, tp boros.",tiktok shop balik malah jadi ingin beli terus bahaya sekali tahu belanja parfum iya jadi murah sih boros,negative
Wed Jan 10 12:06:40 +0000 2024,"Semenjak tiktokshop buka lagi, si abang kurir kembali nganter paket gue malem banget.",semenjak tiktok shop buka kurir antar paket aku malam banget,negative
Wed Jan 10 07:10:37 +0000 2024,SIAPA yang udh 5x cekout semenjak tiktokshop buka lagi (adlh gw),siapa sudah belanja semenjak tiktok shop buka adalah,neutral
Wed Jan 10 06:39:33 +0000 2024,TikTok Shop Ditutup : Bagaimana Pengaruhnya Dalam Ruang Lingkup Ekonomi: Continue reading on Medium Â» https://t.co/xBz9DZ0dZu #economics #business #tiktokshop,tiktok shop tutup bagaimana pengaruh ruang lingkup ekonomi,neutral
Wed Jan 10 04:00:58 +0000 2024,"Prahara TikTok Shop Kembali Lagi, Dianggap Masih Langgar Aturan https://t.co/ivIfo2aI0o",prahara tiktok shop lagi anggap langgar atur,negative
Wed Jan 10 01:58:37 +0000 2024,@strike_bravo_b @AndyHuskyyy Algoritma nya dibuat kenceng buat 02 kayanya. Gara2 tiktokshop dibuka lagi sama mendag ðŸ˜Œ,algoritma nya buat kencang buat kaya gara tiktok shop buka sama mendag,negative
Tue Jan 09 21:21:38 +0000 2024,Kehadiran kembali Tiktok Shop di Indonesia masih dikritisi banyak pihak. Perbedaan sikap antar dua kementerian juga turut disorot. Salah satunya Lembaga Pengembangan dan Pemberdayaan Masyarakat Informasi (LPPMI). https://t.co/FrXKOvsT8N,hadir tiktok shop indonesia kritisi banyak pihak beda sikap antar menteri turut sorot salah satu lembaga kembang daya masyarakat informasi lppmi,negative
Tue Jan 09 15:16:48 +0000 2024,"@haeloml @jntexpressid Jnt nih emg ngerasa superior dl tiktok shop tutup, Shopee Xpress jalan, mereka ngemis2 nyuruh kirim paket via jnt, skrg tiktok shop buka lagi paket banyak lagi jadi semena-mena lagi",jnt memang rasa superior dulu tiktok shop tutup shopee xpress jalan emis suruh kirim paket lewat jnt sekarang tiktok shop buka paket banyak jadi semena mena,negative
Tue Jan 09 13:51:45 +0000 2024,"Aduh gara2 tiktokshop dibuka lagi, jadi njajan teruss, kali ini pen nyoba bolo sego hiks",waduh gara tiktok shop buka jadi jajan terus sekali ingin coba bolo sego hiks,neutral
Tue Jan 09 13:04:48 +0000 2024,semenjak tiktok shop buka lagi sy menjadi boros ðŸ§,semenjak tiktok shop buka saya jadi boros,negative
Tue Jan 09 10:49:00 +0000 2024,"@strike_bravo_b Keknya algoritma TikTok emng dh diatur dah,. Dulu pas TTS ditutup, si Bahlil blng ga bakal kasih ijin buat tiktokshop lagi ,demi UMKM.  Mngkin ada nego soal algoritma buat pilpres, jd TikTok shop bisa lagi .",seperti algoritma tiktok memang atur dulu tiktok shop tutup bahlil bilang tidak bakal kasih ijin buat tiktok shop demi umkm mungkin negosiasi soal algoritma buat pilpres jadi tiktok shop lagi,negative
Tue Jan 09 08:27:10 +0000 2024,Tiba-tiba kepikiran.  Lagi banyak banget influencer yg mencoba kasih tau untuk mengurangi sampah plastik dan mengurangi penggunaan plastik. Eh tiba-tiba buka Tiktok. Dan yah Tiktok shop buka kembali. Tau sendiri bagaimana murahnya barang yg ditawarkan. Tapi ini memberikan++,tiba tiba pikir banyak banget influencer coba kasih tahu kurang sampah plastik kurang guna plastik tiba tiba buka tiktok tiktok shop buka tahu sendiri bagaimana murah barang tawar ini beri,negative
Tue Jan 09 06:26:31 +0000 2024,jnt semenjak tiktok shop tutup kayaknya jadi problematik atau emang dari dulu ya? aku jualan kalau pakai ekspedisi jnt juga kebanyakan bermasalah terusðŸ˜…,jnt semenjak tiktok shop tutup kayak jadi problematik memang dulu iya aku jual kalau pakai ekspedisi jnt banyak masalah terus,negative
Mon Jan 08 17:06:05 +0000 2024,tiktok shop dibuka lagi tuh makin mmbuatku bokek di awal bulanðŸ˜­,tiktok shop buka itu makin buat boros awal bulan,negative
Mon Jan 08 16:31:45 +0000 2024,@yuliadore dulu rame bgt nih sebelum tiktokshop tutup,dulu ramai banget belum tiktok shop tutup,neutral
Mon Jan 08 14:32:44 +0000 2024,mulai dah tiktokshop kembali lagi sama produk2 dongo nya,mulai tiktok shop lagi sama produk bodoh nya,negative
Mon Jan 08 14:25:19 +0000 2024,@alyciasaveera pernah liat di tiktokshop tp blm ke co udah ilang ttshopnyaðŸ˜­ walaupun dah balik lg tapi kan uda lupa itu yg manaðŸ˜­ðŸ˜­,pernah lihat tiktok shop belum belanja hilang tiktok shopnya walaupun balik tapi lupa yang mana,neutral
Mon Jan 08 09:36:54 +0000 2024,tahun kmrn bgt aku main target sehari sejuta tp semua jd gak tersusun lg semenjak tiktokshop tutup. semoga semenjak on lagi bisa nyentuh target dulu sih. jd kepikiran jugaðŸ¥²ðŸ¥²,tahun kemarin banget aku main target hari juta semua jadi tidak susun semenjak tiktok shop tutup moga semenjak operasi bisa sentuh target dulu sih jadi pikir,positive
Mon Jan 08 03:32:41 +0000 2024,"Waktu itu saat 2 bulan nganggur saat tiktok shop di tutup, kita pergi kesini dengan uang pas-pasan kamu beli bensin aku bayar pakai shoppie pay yg cuman cukup buat bayar kita makan ber 3  Saat ini Alhamdulillah bgt semenjak tiktok shop buka kembali ðŸ¥° https://t.co/7mI98NBkAf",waktu bulan nganggur tiktok shop tutup pergi kesini uang pas pas kamu beli bensin aku bayar pakai shopee pay cuman cukup buat bayar makan dua saat ini syukur banget semenjak tiktok shop buka,positive
Mon Jan 08 03:28:01 +0000 2024,Gue seneng tiktok shop balik lagi tAPI JUGA STRES SOALNYA BIKIN JAJAN MULU ðŸ˜­ðŸ˜­ðŸ˜­,aku senang tiktok shop balik tapi stres soal buat jajan terus,neutral
Mon Jan 08 02:32:03 +0000 2024,"@Mahesa_Aditya_ Anjir lah parah bgt. Sejak tiktokshop tutup apa gimana ya jnt jadi begini. Dulu waktu masih megang toped dan deddy, berkibar bgt ini kurir.",parah banget sejak tiktok shop tutup apa gimana iya jnt jadi begini dulu waktu megang tokopedia deddy kibar banget kurir,negative
Sun Jan 07 15:20:38 +0000 2024,resolusi 2024 mengurangi checkout eh malah tiktok shop comeback dengan harga Murmernya â˜ºï¸,resolusi kurang belanja malah tiktok shop dengan harga murah riah nya,negative
Sun Jan 07 13:32:26 +0000 2024,"Kacau JNT , gak siap dengan SDM saat Tiktokshop back to normal.  ___  Paket gw di nyatakan hilang dan minta refund. Kasihan sama penjual nya neh.  Kolom komentar di IG nya di batasi, mereka gak siap melawan orang2 yg mengharapkan paket tiba on time. https://t.co/gwIkbQNJ1v",kacau jnt tidak siap sdm tiktok shop normal paket nyata hilang minta kembali uang kasihan sama jual nya kolom komentar instagram nya di batas tidak siap lawan orang harap paket tiba tepat waktu,negative
Sun Jan 07 13:04:30 +0000 2024,"Tiktokshop buka lagi, racun iseng belanja muncul lagi ðŸ˜­ðŸ˜­ Lagi random ngescroll sambil nunggu adzan, muncul yg lagi live. beres adzan tau2 udah co kerudung instan ðŸ«",tiktok shop buka goda iseng belanja muncul lagi iseng gulir nunggu adzan muncul lagi siar langsung beres adzan tahu belanja kerudung instan,neutral
Sun Jan 07 08:38:55 +0000 2024,@Gyuvian @Jaehduk @Beomglu @uaeminna Oiya harus tiktok shop udah dibuka lagi euy bisnis is bisnis,tiktok shop buka bisnis bisnis,neutral
Sat Jan 06 12:09:34 +0000 2024,Lupa kuduna beli mie gulung dulu pas tiktok shop buka lagi tehðŸ˜­,lupa beli mie gulung dulu tiktok shop buka,neutral
Sat Jan 06 09:41:35 +0000 2024,tergoda beli bolsu nyai bahaya bgt sejak tiktokshop balik lg impulsif jajan trs,goda beli bolsu nyai bahaya banget sejak tiktok shop balik impulsif jajan terus,negative
Sat Jan 06 02:59:36 +0000 2024,"@ayachan10969__ Mending produk lokal yang dipromosiin, sama aja kalau mendukung barang kw bikin harga jatoh, ujung-ujungnya tiktokshop ditutup lagi",mending produk lokal promosi sama aja kalau dukung barang palsu buat harga jatuh ujung ujung tiktok shop tutup,negative
Fri Jan 05 22:35:21 +0000 2024,"Pengen buka toko di ttshop, tapi jujur aja belum sreg karena tiktok shop ga punya apps sendiri sebagai e-commers. Padahal dulu tujuan awal ttshop ditutup biar ttshop punya stand yg jelas sebagai sosmed atau e-commers. Tapi yah gitu.....",ingin buka toko tiktok shop jujur aja cocok tiktok shop tidak punya aplikasi sendiri ecommers padahal dulu tuju awal tiktok shop tutup biar tiktok shop punya posisi jelas sosial media ecommers gitu,negative
Fri Jan 05 18:33:00 +0000 2024,@tanyakanrl kadang org2 begini yg bikin tiktokshop di tutup .,kadang orang begini buat tiktok shop tutup,negative
Fri Jan 05 15:26:24 +0000 2024,"TikTok Shop kembali hadir dengan menggandeng Tokopedia. Untuk berbelanja di TikTok Shop, kini pengguna dapat menggunakan berbagai macam metode pembayaran. https://t.co/l1E72onasP",tiktok shop kembali hadir gandeng tokopedia belanja tiktok shop kini guna guna bagai macam metode bayar,positive
Fri Jan 05 14:15:21 +0000 2024,Awokwok yall know kemarin tiktok shop di tutup demi melindungi UMKM krn ga bisa bersaing dg hrg jual influencer viewers gede yg jualan live dg hrg yg super diskon.  And then now look they are back when tiktok shop x tokped dibuka kembali.,kalian semua tahu kemarin tiktok shop tutup lindung umkm tidak saing harga jual influencer viewers gede jual siar langsung harga super diskon lalu sekarang lihat tiktok shop tokopedia buka kembali,negative
Fri Jan 05 13:57:01 +0000 2024,"@tanyakanrl Tiktok shop tutup kan salah satu nya gara gara pada flexing di tiktok, apalah maksudnya banyak yg jualan nya laris manis tapi gak sampe flexing juga tuh, tapi ini kek malah seakan akan kek OKB (Orang kaya baru).. jdi dusun",tiktok shop tutup salah satu nya gara gara flexing tiktok apa maksud banyak jual nya laris manis tidak flexing itu ini malah akan orang seperti baru jadi dusun,negative
Fri Jan 05 11:47:08 +0000 2024,bjir kalap coðŸ˜“ ada jleknya jg ya tiktok shop balik wkwkwkkw,kalap belanja jelek iya tiktok shop balik,negative
Fri Jan 05 09:57:12 +0000 2024,@wrkhlc wktu itu kak di tiktok shop baru buka lgi,wktu di tiktok shop baru buka,neutral
Fri Jan 05 09:16:19 +0000 2024,"@tanyakanrl sumpah, yg kayak gini nieh yg bikin tiktokshop kemarin ditutup. udah bagus dibuka, eh sekarang udah flexing lagi. nanti kalo ditutup ngamuk2 bilang pemerintah gak adil. taik",sumpah kayak gin nih buat tiktok shop kemarin tutup bagus buka sekarang flexing nanti kalau tutup ngamuk bilang perintah tidak adil sial,negative
Fri Jan 05 08:09:51 +0000 2024,"Dikutip dari https://t.co/ssQeVeeIsX, Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Salahuddin Uno menyambut baik kembalinya TikTok Shop dan berharap bisa memberikan dampak positif bagi pelaku Usaha Mikro, Kecil dan Menengah (UMKM) nasional. https://t.co/Xlskmi3kvK",kutip pariwisata ekonomi kreatif menparekraf sandiaga salahuddin uno sambut baik kembali tiktok shop harap beri dampak positif laku usaha mikro kecil tengah umkm nasional,positive
Fri Jan 05 06:09:52 +0000 2024,"Ntar kalau tiktokshop tutup lagi, salahin dia aja ya :)",sebentar kalau tiktok shop tutup salahin aja iya,negative
Fri Jan 05 03:29:06 +0000 2024,"pengen kerjaaaaaa we ðŸ˜­ biar bisa jajan karna ku suka ngemil ðŸ¤§ tahun lalu kena PHK massal gara tiktokshop tutup, sampe skrng blm dpt"" kerja huhu""",ingin kerja bisa jajan aku suka ngemil tahun lalu kena phk massal gara tiktok shop tutup sekarang dapat kerja,neutral
Fri Jan 05 01:42:19 +0000 2024,"Trending Duduk Perkara TikTok Shop Tutup di Indonesia, Bukan Cuma soal Larangan Transaksi - https://t.co/OJYBPVlWZD - Tekno https://t.co/OJYBPVlWZD https://t.co/FiPxE0GSaL https://t.co/hLyQVM8HGS",trending duduk perkara tiktok shop tutup indonesia bukan cuma soal larang transaksi,neutral
Thu Jan 04 17:18:36 +0000 2024,"@blubssom Ohh gitu, gapapa yang penting udah ada experiencenya itu wkwkwkwkwk. Eh iya dah saya juga dulu sempet beli gitu di tiktok lebih gampang di tiktok juga. Tapi sekarang tiktok shop balik lagi saya bingung mau beli apa karena udah nyaman nonton doang di tiktok. ðŸ˜‚",gitu tidak apa apa penting ada alam iya saya dulu sempat beli gitu tiktok lebih gampang tiktok tapi sekarang tiktok shop balik saya bingung mau beli apa sudah nyaman tonton di tiktok,neutral
Thu Jan 04 16:59:21 +0000 2024,Emang udah bener sih tiktok shop ditutup... Masa gue tiba-tiba co 3 baju bejiiirrrr kayak yang punya duit aje.,memang benar sih tiktok shop tutup masa aku tiba tiba belanja baju kayak punya uang,negative
Thu Jan 04 16:08:27 +0000 2024,Gegara tiktok shop udah buka lagi fyp penuh basreng sama cemilan pedes ðŸ˜­ðŸ˜­ðŸ˜­  YAKALI GA KEGODA,lantar tiktok shop buka fyp penuh basreng sama cemilan pedes masa iya tidak goda,neutral
Thu Jan 04 15:08:41 +0000 2024,"@tukismind @txtfrombrand Bajingan shoope live sekarang rame, semenjak tiktok shop tutupðŸ˜­",bajing shoope siar langsung sekarang ramai semenjak tiktok shop tutup,negative
Thu Jan 04 13:31:56 +0000 2024,tiktokshop balik baso aci bertaburanðŸ¥²,tiktok shop balik baso aci tabur,neutral
Thu Jan 04 10:59:43 +0000 2024,"sekarang tiktok shop udah balik tapi tiktok live yg lagi jualannya jarang banget lewat fyp, ga kaya dulu. iya ga sih? apa gue doang?",sekarang tiktok shop balik tiktok siar langsung lagi jual jarang banget lewat fyp tidak dulu iya tidak sih apa aku,neutral
Thu Jan 04 01:24:05 +0000 2024,"@estehhjpg @ffrha__ @utfess emg sekarang TikTok afiliate masih ada? bukannya tiktok shop udh ditutup?... terakhir punya tiktok sih gitu, sekarang blum instal lagi",memang sekarang tiktok afiliate ada bukan tiktok shop tutup akhir punya tiktok sih gitu sekarang instal,neutral
Wed Jan 03 12:10:40 +0000 2024,"jarang buka shopee kalo lagi ga butuh butuh banget alias biar hemat, tiap hari kerjaan skrol tiktok sekarang tiktok shop malah bukaaa fakkkkkkkkk bikin dompet kering anjoiii",jarang buka shopee kalau tidak butuh butuh banget alias biar hemat tiap hari kerja skrol tiktok sekarang tiktok shop malah buka sial buat dompet kering sial,negative
Wed Jan 03 07:58:43 +0000 2024,tahun terakhir ini. Semoga TikTok Shop segera kembali beroperasi dan memberikan kesempatan bagi para pengusaha online untuk terus berkembang.,tahun akhir moga tiktok shop segera kembali operasi beri sempat para usaha online terus kembang,positive
Wed Jan 03 03:50:26 +0000 2024,"p ingfo biar tiktok ada keranjang kuningnya gmn?? bjir dari tiktokshop ada, ditutup terus dibuka lagi masih aja gaada tuh keranjang kuningðŸ˜­",biar tiktok keranjang kuning bagaimana tiktok shop tutup terus buka masih aja tidak itu keranjang kuning,neutral
Wed Jan 03 03:20:27 +0000 2024,Semenjak tiktokshop buka lagi kerjaan gue co snacktok mulu,semenjak tiktok shop buka kerja aku belanja snack terus,positive
Wed Jan 03 02:13:09 +0000 2024,"Seumur hidup kerja di bidang kreatif. Mulai editor, nulis script, ngedirect, desain dan terakhir creative branding TikTok. Semenjak TikTok Shop dibuka lagi, sekarang divisi digeser ke sales, dan sekarang kerjanya ngurusin data dan table seabrek. Gilak! Tantangan 2024 ku nemen!",umur hidup kerja bidang kreatif mulai editor nulis script ngedirect desain akhir creative branding tiktok semenjak tiktok shop buka sekarang divisi geser sales sekarang kerja ngurusin data table abrek gila,negative
Tue Jan 02 15:24:04 +0000 2024,"@Nhoceur Tanah Abang a, kebetulan lagi rame soalnya tiktokshop tutup lagi",tanah abang betul ramai soal tiktok shop tutup,neutral
Tue Jan 02 14:44:57 +0000 2024,"Semenjat tiktok shop buka lagi isi fyp ku jualan semuaa akkkk, sudah menahan untuk tidak co akhirnya ya co juga, apalagi gabut liburan gini godaan menghamburkan uang lebih besar",semenjak tiktok shop buka isi fyp aku jual semua aku tahan tidak belanja akhir iya belanja apalagi bosan libur gin goda hambur uang lebih besar,negative
Tue Jan 02 13:13:20 +0000 2024,"September Aplikasi sekaligus sumber informasi kredibel media sosial,Tiktok, setop jualan lewat tiktok shop sebelum rujuk, meski akhirnya balik beroperasi lagi pada Desember bareng Tokopedia.",september aplikasi sekaligus sumber informasi kredibel media sosial tiktok stop jual lewat tiktok shop rujuk meski akhir balik operasi pada desember bareng tokopedia,neutral
